Kod_Kursus,Nama_Kursus,Tahun_Kursus,Tempoh_Kursus,Bidang,Sub_Bidang,Skim_Gred,Skim_Kod,Nama_Skim
KCA0023,Kursus Cisco Networking Academy (Cisco Netacad): IT Essentials (PC Hardware and Software),2023,5,ICT,Pengurusan Rangkaian,AL41,A,Pengangkutan
KCA0026,Kursus Cisco Certified Network Associate (CCNA): Introduction to Networks,2023,5,ICT,Pengurusan Rangkaian,AL41,A,Pengangkutan
KCA0027,Kursus RBTCS: Excel and PowerPoint Productivity Hacks for Presenter,2022,3,ICT,Pengurusan Maklumat,A41,A,Pengangkutan
KCA0028,Kursus Data Science Fundamentals,2022,3,ICT,Pengurusan Maklumat,A41,A,Pengangkutan
KCA0029,Kursus Persembahan Slaid Efektif dan Berimpak Tinggi,2022,1,ICT,Produktiviti Desktop,A41,A,Pengangkutan
KCA0038,Kursus Fundamentals of Enterprise Architecture,2023,3,ICT,Pengurusan Strategik ICT,A48,A,Pengangkutan
KCA0044,Kursus Pembangunan Pelan Strategik Pendigitalan (PSP),2023,3,ICT,Pengurusan Strategik ICT,A48,A,Pengangkutan
KCA0046,Kursus Data Science for Big Data Analytics,2022,4,ICT,Pengurusan Maklumat,A41,A,Pengangkutan
KCA0057,Kursus Machine Learning for Data Science,2022,4,ICT,Pengurusan Maklumat,A41,A,Pengangkutan
KCA0058,Kursus Pengenalan Kepada Pembangunan Bahan Kursus e-Pembelajaran Sektor Awam (EPSA),2021,2,ICT,Pembangunan Sistem,A26,A,Pengangkutan
KCA0065,Kursus Pembangunan Bahan Kursus Menggunakan Perisian iSpring,2021,5,ICT,Pengurusan Maklumat,AL41,A,Pengangkutan
KCA0084,Kursus Big Data Analytics Using Speedminer (Fundamentals),2022,3,ICT,Pengurusan Maklumat,A41,A,Pengangkutan
KCA0086,Kursus Advanced PowerPoint For EPSA Content Development Trainers,2022,4,ICT,Pembangunan Bahan Kursus,AL44,A,Pengangkutan
KCA0095,Asas Rangkaian Komputer: Evolusi IPV4 ke IPV6,2022,1,ICT,Pengurusan Rangkaian,AL41,A,Pengangkutan
KCA0104,Kursus Tips And Tricks : MS WORD & MS EXCEL,2023,2,ICT,Produktiviti Desktop,A19,A,Pengangkutan
KCA0105,Kursus Pengurusan Keselamatan dan Insiden Siber,2023,2,ICT,Pengurusan Keselamatan ICT,AB29,A,Pengangkutan
KCA0108,Kursus Power BI Essentials,2023,3,ICT,Sains Data,A44,A,Pengangkutan
KCA0120,Kursus Pembangunan Bahan Kursus EPSA Menggunakan Ms PowerPoint,2023,3,ICT,Pembangunan Bahan Kursus,A40,A,Pengangkutan
KCA0130,Kursus Microsoft Power BI Data Analysis Professional,2024,3,ICT,Sains Data,A41,A,Pengangkutan
KCB0020,Kursus DGCCR Certified Trainers,2023,4,ICT,Digital Skills Trainer,AL41,A,Pengangkutan
KCB0032,Kursus Internet of Things Specialist Certification,2023,3,"SAINS, TEKNOLOGI DAN KEJURUTERAAN","Sains, Teknologi dan Kejuruteraan",AL41,A,Pengangkutan
KEA0001,Kursus Etika Kerja : Gamifikasi,2022,1,PEMBANGUNAN DIRI DAN SAHSIAH,Keyakinan Diri,AB29,A,Pengangkutan
KEA0003,Kursus Pembangunan Minda Beretika,2022,2,PSIKOLOGI,Psikologi Dan Minda,A19,A,Pengangkutan
KEA0004,Kursus Patriotisma dan Kenegaraan,2021,1,PEMBANGUNAN DIRI DAN SAHSIAH,Keyakinan Diri,AB29,A,Pengangkutan
KEA0005,Kursus SMART Integriti,2021,1,PEMBANGUNAN DIRI DAN SAHSIAH,Keyakinan Diri,AB29,A,Pengangkutan
KEA0006,Kursus Integriti Dan Tadbir Urus Terbaik Dalam Pengurusan Kewangan Kerajaan,2021,2,PENGURUSAN,Krisis Dan Konflik,A22,A,Pengangkutan
KEA0007,Kursus Keluarga Rahmah,2022,1,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,A41,A,Pengangkutan
KEA0008,Emotional & Spiritual Intelligence,2022,2,PSIKOLOGI,Psikologi Dan Minda,A41,A,Pengangkutan
KEA0009,Kursus Minda Sejahtera,2022,2,PSIKOLOGI,Psikologi Dan Minda,A19,A,Pengangkutan
KEA0010,Kursus Penyediaan Teks Dan Bacaan Doa,2022,1,KOMUNIKASI,Protokol dan Pengurusan Majlis,A19,A,Pengangkutan
KEA0012,Kursus Literasi Kaunseling,2022,2,PSIKOLOGI,Psikologi Dan Minda,A36,A,Pengangkutan
KEA0014,Kursus Keluarga Malaysia Makmur Bersama,2022,1,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,A19,A,Pengangkutan
KEA0015,Kursus Pemerkasaan Psikologi dan Kerohanian,2022,2,PSIKOLOGI,Psikologi Dan Minda,A36,A,Pengangkutan
KEA0019,Kursus Psychological First Aid,2023,3,PSIKOLOGI,Psikologi Dan Minda,A41,A,Pengangkutan
